source	target	weight	resources
KLF4	VDR	-1.0	ExTRI;NTNU.Curated;TRRUST
HIF1A	BSG	1.0	ExTRI
MYC	SAE1	1.0	ExTRI
SP1	CENPH	1.0	ExTRI;TRRUST
SP3	CENPH	1.0	ExTRI;TRRUST
NR0B2	PLTP	1.0	ExTRI
ESR1	NR4A1	-1.0	ExTRI;NTNU.Curated
NR4A1	ESR1	1.0	ExTRI
RELA	APPL1	1.0	ExTRI
CEBPA	CXCL8	1.0	CytReg;ExTRI;GEREDB;NTNU.Curated
NFATC4	ITPR1	1.0	ExTRI
ESR1	NEUROG2	1.0	ExTRI
CEBPA	DIO2	1.0	ExTRI;NTNU.Curated
CEBPB	DIO2	1.0	ExTRI
CEBPG	DIO2	1.0	ExTRI
SP1	ME3	1.0	ExTRI
NFE2L2	DDIT3	1.0	ExTRI;GOA;NTNU.Curated
STAT3	STAT1	1.0	DoRothEA-A;ExTRI;NTNU.Curated;SIGNOR;TRRUST
STAT1	STAT3	1.0	DoRothEA-A;TRRUST
NCOA1	MMP2	1.0	ExTRI
NCOA3	MMP2	1.0	ExTRI
SP1	STXBP2	1.0	ExTRI
FOXA2	MSX1	1.0	ExTRI;GOA;NTNU.Curated
SP1	HBZ	1.0	ExTRI;TRRUST
GRHL2	CLDN3	1.0	ExTRI
GRHL2	RAB25	1.0	ExTRI
NFATC3	DDIT4	1.0	ExTRI;NTNU.Curated
NFATC3	MUC2	1.0	ExTRI;NTNU.Curated
NFATC3	TSC2	1.0	ExTRI
TFCP2	FGFR1	1.0	ExTRI
TFCP2	KRT27	1.0	ExTRI
TFCP2	ME3	1.0	ExTRI
SP1	PDYN	1.0	ExTRI
NR3C1	RASD1	1.0	ExTRI;NTNU.Curated
STAT5B	RASD1	1.0	ExTRI;NTNU.Curated
SP1	CS	1.0	ExTRI
MTA1	PTEN	-1.0	ExTRI;TRRUST
YY1	PTEN	-1.0	ExTRI;NTNU.Curated
MTA1	PIK3R1	1.0	ExTRI
ASCL1	NUMBL	1.0	ExTRI
NEUROD1	NUMBL	1.0	ExTRI
DNMT1	ERRFI1	1.0	ExTRI
MYCN	BIRC5	1.0	ExTRI;NTNU.Curated;TRRUST
SMAD5	KLF1	1.0	ExTRI
SMAD6	KLF1	1.0	ExTRI
NFE2L2	AOX1	1.0	ExTRI
HMGA1	SLC2A3	1.0	ExTRI;SIGNOR;TRRUST
HMGA1	PRKAA1	1.0	ExTRI
MYC	GPC3	1.0	ExTRI;NTNU.Curated
RELA	IL33	1.0	ExTRI
PAX3	MYOG	1.0	ExTRI;GEREDB
FOXO1	CDH3	1.0	ExTRI;NTNU.Curated
PAX3	CDH3	1.0	ExTRI
YBX3	KRAS	1.0	ExTRI
TBP	CCNA2	1.0	ExTRI
TBP	TAF7	1.0	ExTRI
TP53	PDCD6	1.0	ExTRI
KMT2B	GHRHR	1.0	ExTRI
RUNX1	TNFAIP6	1.0	ExTRI
RUNX2	TNFAIP6	-1.0	ExTRI;NTNU.Curated
RUNX2	RUNX1	-1.0	ExTRI;NTNU.Curated
ASCL1	HES5	1.0	ExTRI;GEREDB;Pavlidis2021
HES5	ASCL1	-1.0	Pavlidis2021;SIGNOR
SP1	CCR7	1.0	ExTRI
RBPJ	ASCL1	-1.0	ExTRI;Pavlidis2021;TFactS
POU2F1	HOXB1	1.0	ExTRI;NTNU.Curated
SOX2	HOXB1	1.0	ExTRI;NTNU.Curated
KLF6	PMAIP1	1.0	ExTRI;TRRUST
SP1	PMAIP1	-1.0	ExTRI;NTNU.Curated
STAT5A	PROX1	1.0	ExTRI;NTNU.Curated
HEY1	PROX1	-1.0	ExTRI;TRRUST
KDM2A	FGFR1	1.0	ExTRI
CDX2	CLDN1	1.0	ExTRI;NTNU.Curated
HOXB7	CLDN1	1.0	ExTRI
CDX1	CLDN1	1.0	ExTRI
GATA4	CLDN1	1.0	ExTRI
CEBPB	KDM4B	1.0	ExTRI;NTNU.Curated
CEBPB	CCNE1	1.0	ExTRI;GEREDB
CEBPB	CDC25C	1.0	ExTRI;NTNU.Curated
CEBPB	CDC45	1.0	ExTRI;NTNU.Curated
CEBPB	GINS1	1.0	ExTRI;NTNU.Curated
CEBPB	MCM3	1.0	ExTRI;NTNU.Curated
EWSR1	EYA3	1.0	ExTRI
FLI1	EYA3	1.0	ExTRI;TRRUST
BCL6	CDKN2B	-1.0	ExTRI;TRRUST
FOXN1	CARM1	1.0	ExTRI
FOXN1	NELFE	1.0	ExTRI
ELF4	CARM1	1.0	ExTRI
JDP2	CARM1	1.0	ExTRI
ESR2	NFKBIA	1.0	ExTRI
RELA	CD46	1.0	ExTRI
AHR	APOA1	1.0	ExTRI
HR	APOA1	1.0	ExTRI
BHLHE40	CYP3A4	1.0	ExTRI
SMAD3	NOX4	1.0	ExTRI;NTNU.Curated
PAX3	AHR	1.0	ExTRI
PPARD	NPC1L1	1.0	ExTRI;NTNU.Curated
NEUROD1	GJD2	1.0	ExTRI
STAT5B	AURKA	1.0	ExTRI;NTNU.Curated
TP53	TAT	1.0	ExTRI
HR	BGLAP	1.0	ExTRI
EHF	DCDC2	-1.0	ExTRI;SIGNOR;TRRUST
AR	CLEC10A	1.0	ExTRI
DNMT3A	TWSG1	1.0	ExTRI
DNMT3A	DNMT3A	1.0	ExTRI
E2F1	DNMT3A	-1.0	ExTRI;NTNU.Curated
RB1	DNMT3A	-1.0	TRRUST
DNMT3A	RB1	1.0	ExTRI
CUX1	CRH	1.0	ExTRI
NFKB2	CRH	1.0	ExTRI
RELB	CRH	1.0	ExTRI
NR2F2	EFNB2	1.0	ExTRI
LHX2	CYP19A1	1.0	ExTRI
TFAP2C	CITED2	1.0	ExTRI
DNMT1	SLC2A4	1.0	ExTRI
BHLHE41	SNAI2	1.0	ExTRI;NTNU.Curated
MYC	LAT	1.0	ExTRI;NTNU.Curated
ATF6	CDKN2A	1.0	ExTRI
NR4A3	TEC	1.0	ExTRI
AR	IGF1	1.0	ExTRI;HTRI
ETS2	TNF	1.0	CytReg;ExTRI
ETS2	C1QTNF5	1.0	ExTRI
CTCF	JUN	1.0	ExTRI
STAT4	AKT1	1.0	ExTRI
STAT4	PIK3R1	1.0	ExTRI
STAT4	S100A4	1.0	ExTRI;SIGNOR;TRRUST
ETS1	LTB	1.0	ExTRI;NTNU.Curated
NFKB1	LTB	1.0	CytReg;ExTRI
RELA	LTB	1.0	CytReg;ExTRI
SP1	CTSG	1.0	ExTRI
TFAP2A	CTSG	1.0	ExTRI
JUNB	S100A2	1.0	ExTRI;NTNU.Curated
PBX1	DCC	1.0	ExTRI
NFE2L2	SESN2	1.0	ExTRI;NTNU.Curated
DNMT1	CRP	1.0	ExTRI
MEF2C	BMP4	1.0	ExTRI
STAT3	USP7	-1.0	ExTRI;NTNU.Curated;TRRUST
IKZF3	IL2	1.0	CytReg;ExTRI;NTNU.Curated
HNF4A	SAR1B	1.0	ExTRI
MAFB	HJV	1.0	ExTRI
MAFB	PAPSS2	1.0	ExTRI
MAFB	SCN5A	1.0	ExTRI
MAFB	SRC	1.0	ExTRI
MAFB	TRDMT1	1.0	ExTRI
ESR1	GZMB	1.0	ExTRI
NRG1	SMARCA4	1.0	ExTRI
AHR	ABCA4	1.0	ExTRI
AHR	ABCB6	1.0	ExTRI
NKX2-1	OCLN	1.0	ExTRI
TTF1	OCLN	1.0	ExTRI
TTF1	CLDN1	1.0	ExTRI
FOXM1	KRT15	1.0	ExTRI;NTNU.Curated;TRRUST
KLF8	AXIN1	1.0	ExTRI
ESRRA	SCT	1.0	ExTRI;NTNU.Curated
NR4A1	AR	1.0	ExTRI;NTNU.Curated
DNMT1	RASSF1	1.0	ExTRI;TRRUST
TBX15	RASSF1	1.0	ExTRI
NR3C1	CCN5	1.0	ExTRI
NFATC2	TNFRSF12A	1.0	ExTRI;NTNU.Curated
NFATC2	TNFSF12	1.0	ExTRI
FOXM1	AURKB	1.0	ExTRI;NTNU.Curated
NKX3-2	PAX3	-1.0	ExTRI;GEREDB;NTNU.Curated
SOX9	PAX3	-1.0	ExTRI;NTNU.Curated
MBD2	PHF21A	1.0	ExTRI
AR	ATAD2	1.0	ExTRI;NTNU.Curated;TRRUST
E2F1	ATAD2	1.0	ExTRI;NTNU.Curated;TRRUST
REST	GRIA1	-1.0	ExTRI;NTNU.Curated
MYOD1	EHMT2	1.0	ExTRI
EGR1	CSF1R	1.0	ExTRI
GATA4	SIRT1	1.0	ExTRI
TAL1	SIRT1	1.0	ExTRI
TAL1	MYOG	1.0	ExTRI
TAL1	GATA4	1.0	ExTRI
GATA4	TAL1	1.0	ExTRI
CEBPB	CD200R1	1.0	ExTRI
TP53	RPS25	1.0	ExTRI
TP63	CDH1	1.0	ExTRI
TP63	CSN2	1.0	ExTRI
TP63	VIM	1.0	ExTRI
TP53	SRSF3	1.0	ExTRI
RELB	TP53	1.0	ExTRI;NTNU.Curated
PAX6	ABCC8	1.0	ExTRI
PAX6	INSR	1.0	ExTRI
PAX6	FFAR1	1.0	ExTRI
PAX6	GIPR	1.0	ExTRI;NTNU.Curated
SMAD3	ZYX	1.0	ExTRI;NTNU.Curated
GATA1	C1QA	-1.0	ExTRI;NTNU.Curated
MAFB	C1QA	1.0	ExTRI;NTNU.Curated
HIF1A	PC	1.0	ExTRI
HIF1A	THEG	1.0	ExTRI
YBX1	TP63	1.0	ExTRI
TP63	YBX1	1.0	ExTRI
NFATC2	MDM2	1.0	ExTRI;TRRUST
PPARG	CIDEC	1.0	ExTRI;NTNU.Curated
FOS	E2F1	1.0	ExTRI;NTNU.Curated
TWIST2	MMP9	1.0	ExTRI
ESR1	RAB31	1.0	ExTRI
NR4A1	TSHB	1.0	ExTRI
NR4A1	TRH	1.0	ExTRI
LMO2	ANGPT2	1.0	ExTRI;SIGNOR;TRRUST
LYL1	ANGPT2	1.0	ExTRI;SIGNOR;TRRUST
GATA2	ANGPT2	1.0	ExTRI;NTNU.Curated;TRRUST
TAL1	ANGPT2	1.0	ExTRI;SIGNOR;TRRUST
MYC	TSC22D3	1.0	ExTRI;NTNU.Curated
USF1	TSC22D3	1.0	ExTRI;NTNU.Curated
NFATC1	PLCG2	1.0	ExTRI
NFE2L2	IQGAP1	1.0	ExTRI
SCX	COL1A2	1.0	ExTRI;TFactS
TTF1	SCGB3A1	1.0	ExTRI
RELA	PRKD3	1.0	ExTRI
HSF1	DNAJB1	1.0	ExTRI;NTNU.Curated
E2F1	RBM38	1.0	ExTRI;NTNU.Curated;TRRUST
ZIC1	CCND1	1.0	ExTRI;NTNU.Curated
ZIC1	CDKN1A	1.0	ExTRI;NTNU.Curated
ZIC1	CDKN1B	1.0	ExTRI;NTNU.Curated
ZGLP1	AVP	1.0	ExTRI
ZGLP1	CRH	1.0	ExTRI
MYC	MAP4K1	1.0	ExTRI;NTNU.Curated
YY1	JAK2	-1.0	ExTRI;NTNU.Curated
NFKB1	EHMT1	1.0	ExTRI
TP53	MPG	1.0	ExTRI
MBD2	FAAH	1.0	ExTRI
E2F1	FOXM1	1.0	ExTRI;NTNU.Curated;TRRUST
SKIL	TP53	1.0	ExTRI
PAX5	BGLAP	1.0	ExTRI;NTNU.Curated
PAX5	SP7	1.0	ExTRI;NTNU.Curated
PAX5	RUNX2	1.0	ExTRI;NTNU.Curated
STAT1	APOC2	1.0	ExTRI;NTNU.Curated
HNF4A	SLC22A6	1.0	DoRothEA-A;ExTRI;GEREDB;HTRI;TRRUST
HNF4A	SLC22A8	1.0	ExTRI
HOXB13	DNMT3B	1.0	ExTRI
DNMT3B	HOXB13	-1.0	ExTRI;SIGNOR
EZH2	HOXB13	-1.0	ExTRI;SIGNOR;TRRUST
SREBF2	DHCR24	1.0	ExTRI;NTNU.Curated
ESR2	PTEN	1.0	ExTRI;NTNU.Curated
MYC	CITED2	1.0	ExTRI
E2F3	CITED2	1.0	ExTRI
HNF4A	IL10	1.0	ExTRI
CDX2	NR1I2	1.0	ExTRI;NTNU.Curated
NR1I3	PRKAA1	1.0	ExTRI
NR1H4	CISH	1.0	ExTRI
ZNF699	ABCB1	1.0	ExTRI
ETS2	ABCB1	1.0	ExTRI
MAFB	CCL2	1.0	ExTRI;IntAct
MAFB	PRDM1	1.0	ExTRI;NTNU.Curated
MAFB	SPOCK1	1.0	ExTRI
PRDM1	SPOCK1	1.0	ExTRI
ESR2	PES1	1.0	ExTRI
ESR2	ST13	1.0	ExTRI
ESR2	STUB1	1.0	ExTRI
CREB1	KDM3A	1.0	ExTRI;NTNU.Curated
HNF1B	NEUROG3	1.0	ExTRI;NTNU.Curated
PDX1	NEUROG3	1.0	ExTRI;GEREDB
REST	TERF2	-1.0	ExTRI;NTNU.Curated
ID1	RUNX2	1.0	ExTRI;NTNU.Curated
SPI1	IL1RL1	1.0	ExTRI
SATB2	HBG1	1.0	ExTRI;GOA
SATB2	KAT2B	1.0	ExTRI
SATB2	HBE1	1.0	ExTRI
MBD2	KDM2B	1.0	ExTRI
ETS1	PPP2R1B	1.0	ExTRI;NTNU.Curated
SP1	PPP2R1B	1.0	ExTRI
SP3	PPP2R1B	1.0	ExTRI
SP1	PPP2R1A	1.0	ExTRI
SP3	PPP2R1A	1.0	ExTRI
TFAP2A	PPP2R1A	1.0	ExTRI
TP53	PROX1	1.0	ExTRI;NTNU.Curated
CREB3L1	GFAP	1.0	ExTRI
GCM1	GFAP	1.0	ExTRI
GRHL3	ATM	1.0	ExTRI
SPI1	FGFR3	1.0	ExTRI
SPI1	GAD1	1.0	ExTRI
SPI1	HTR2C	1.0	ExTRI
SPI1	KRT14	1.0	ExTRI
SPI1	PPM1E	1.0	ExTRI
SPI1	TOMM70	1.0	ExTRI
ZNF699	FGFR3	1.0	ExTRI
ZNF699	GAD1	1.0	ExTRI
ZNF699	HTR2C	1.0	ExTRI
ZNF699	KRT14	1.0	ExTRI
ZNF699	KRT9	1.0	ExTRI
ZNF699	PPM1E	1.0	ExTRI
ZNF699	TOMM70	1.0	ExTRI
SNAI2	CDH2	-1.0	ExTRI;NTNU.Curated;TRRUST
PROX1	PRKCB	1.0	ExTRI
VDR	CYP1A1	1.0	ExTRI;TRRUST
SMAD7	MTA1	1.0	ExTRI
MTA1	SMAD7	-1.0	ExTRI;TRRUST
EGR2	TNFSF11	-1.0	CytReg;ExTRI
EGR2	ID2	1.0	ExTRI
NONO	BIRC5	1.0	ExTRI;NTNU.Curated
TP73	BCL2	1.0	ExTRI
TP73	CCND1	-1.0	ExTRI;GEREDB
TEAD4	IGFBP1	1.0	ExTRI;NTNU.Curated
HHEX	CSNK2A1	1.0	ExTRI
HHEX	CSNK2A2	1.0	ExTRI
MZF1	MMP2	-1.0	ExTRI;NTNU.Curated;TRRUST
NR5A2	GCK	1.0	ExTRI
TBP	KRT36	1.0	ExTRI
TBP	ME3	1.0	ExTRI
GATA3	LYL1	1.0	ExTRI
GATA3	TAL1	1.0	ExTRI;TFactS
LYL1	NKX3-1	1.0	ExTRI;NTNU.Curated
LYL1	TAL1	1.0	ExTRI
ATF4	F7	1.0	ExTRI;TRRUST
VDR	HLA-DRB1	1.0	ExTRI;SIGNOR;TRRUST
FOXO3	STK11	1.0	DoRothEA-A;ExTRI;NTNU.Curated;SIGNOR
FOXO3	PRKAA2	1.0	ExTRI
ESR1	RNF115	1.0	ExTRI
EGR1	KLF4	1.0	ExTRI;NTNU.Curated
GATA6	BMP2	1.0	ExTRI
SOX2	CDKN1B	1.0	ExTRI;NTNU.Curated;Pavlidis2021
SNAI1	SERPINB5	1.0	ExTRI
TBX6	SERPINB5	1.0	ExTRI
PAX5	ABL1	1.0	ExTRI
PAX5	BCR	1.0	ExTRI
IKZF1	SNAI1	1.0	ExTRI;NTNU.Curated
PITX2	GSK3B	1.0	ExTRI
GLI2	TGFB1	1.0	ExTRI;NTNU.Curated
GLI1	TGFB1	1.0	ExTRI;NTNU.Curated
FOS	PES1	1.0	ExTRI;NTNU.Curated
JUN	PES1	1.0	ExTRI;NTNU.Curated
JUNB	PES1	1.0	ExTRI;NTNU.Curated
JUND	PES1	1.0	ExTRI;NTNU.Curated
TP53	PPARGC1A	1.0	ExTRI;NTNU.Curated;TRRUST
TP53	FXN	1.0	ExTRI
PAX7	CARM1	1.0	ExTRI
DNMT3A	INHA	1.0	ExTRI
GFI1	CD8A	1.0	ExTRI
GATA1	IL1RL1	-1.0	ExTRI;NTNU.Curated;TRRUST
GATA2	IL1RL1	1.0	ExTRI;NTNU.Curated;TRRUST
FOXO1	LHB	-1.0	ExTRI;NTNU.Curated;TRRUST
KCNIP3	FMR1	1.0	ExTRI
KAT7	CDKN1B	1.0	ExTRI
ERG	NR3C1	1.0	ExTRI;NTNU.Curated
NFE2L2	TXNIP	-1.0	ExTRI;NTNU.Curated
PPARG	MOGAT1	1.0	ExTRI;NTNU.Curated
PPARG	MGAT1	1.0	ExTRI;NTNU.Curated
NRF1	IDE	1.0	ExTRI;TRRUST
TBP	IDE	1.0	ExTRI
NANOG	TOR1AIP2	-1.0	ExTRI;NTNU.Curated
GATA1	CDC6	1.0	ExTRI;NTNU.Curated;TRRUST
TP73	BIK	1.0	ExTRI
HHEX	CTSG	1.0	ExTRI
HHEX	ABL1	1.0	ExTRI
HHEX	BCR	1.0	ExTRI
HHEX	SRC	1.0	ExTRI
HHEX	VEGFA	-1.0	ExTRI;NTNU.Curated
HNF1A	HGFAC	1.0	ExTRI;NTNU.Curated
TFAP2A	RET	1.0	ExTRI
TFAP2C	RET	1.0	ExTRI;NTNU.Curated;TRRUST
PPARD	MOG	1.0	ExTRI;NTNU.Curated
PPARD	PLP1	1.0	ExTRI;NTNU.Curated
NFKB2	ENPP2	1.0	ExTRI;NTNU.Curated
RELB	ENPP2	1.0	ExTRI;NTNU.Curated
DMBX1	CD34	1.0	ExTRI
DMBX1	TRAF1	1.0	ExTRI
E2F1	CD2AP	1.0	ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TRRUST
MYB	ERBIN	1.0	ExTRI
DLX3	AKT1	1.0	ExTRI
FOXM1	SCGB1A1	1.0	ExTRI;NTNU.Curated
FOXM1	SOX2	1.0	ExTRI;NTNU.Curated
EGR1	MMP2	-1.0	ExTRI;NTNU.Curated
SP1	XYLT2	1.0	ExTRI
SPI1	XYLT2	1.0	ExTRI
ESR1	FAS	1.0	ExTRI;NTNU.Curated
ESR1	FASLG	1.0	ExTRI
IRF4	TSPO	1.0	ExTRI
TP53	TSPO	1.0	ExTRI
RELA	TREM1	1.0	ExTRI;NTNU.Curated
AR	IL2	1.0	ExTRI
IRF1	MKI67	-1.0	ExTRI;NTNU.Curated
CREB1	GH1	1.0	ExTRI;GEREDB;NTNU.Curated
FOXO1	DGKA	1.0	ExTRI;NTNU.Curated
FOXO3	DGKA	1.0	ExTRI
USF1	RORC	1.0	ExTRI;NTNU.Curated
USF2	RORC	1.0	ExTRI;NTNU.Curated
THRA	PPP2CA	1.0	ExTRI
BCL6	TNFRSF11A	1.0	ExTRI
NFATC1	TNFRSF11A	1.0	ExTRI
SSRP1	MYC	1.0	ExTRI
MYC	PPP2R5D	1.0	ExTRI
TP53	AURKA	-1.0	ExTRI;NTNU.Curated
E2F3	CDK2	1.0	ExTRI
E2F3	SPARC	1.0	ExTRI
TAL1	IL6	1.0	ExTRI
TWIST1	CLU	1.0	ExTRI;NTNU.Curated
EZH2	FOXP3	-1.0	ExTRI;IntAct;NTNU.Curated
HOXC6	BCL2	1.0	ExTRI
DNMT1	BCL2	1.0	ExTRI
TP53	APOB	1.0	ExTRI
HLX	BTG1	1.0	ExTRI;TRRUST
TAL1	MYB	1.0	ExTRI;TRRUST
TCF12	TRIB2	1.0	ExTRI;NTNU.Curated
TCF3	TRIB2	1.0	ExTRI;NTNU.Curated
HES1	DUSP1	1.0	ExTRI
PURA	ERBB2	1.0	ExTRI;TRRUST
ID2	LGALS1	1.0	ExTRI
SP1	NT5E	1.0	ExTRI;TRRUST
ZGLP1	APOA1	1.0	ExTRI
ESR1	FHL2	1.0	ExTRI;NTNU.Curated
HOXA9	DACH1	1.0	ExTRI
KMT2A	DACH1	1.0	ExTRI
CEBPA	DACH1	-1.0	ExTRI;NTNU.Curated
GATA1	DACH1	-1.0	ExTRI;NTNU.Curated;TRRUST
CEBPA	PLIN5	1.0	ExTRI;NTNU.Curated
E2F7	VEGFA	1.0	ExTRI;NTNU.Curated
E2F8	VEGFA	1.0	ExTRI;NTNU.Curated
ASCL2	FGFR1	1.0	ExTRI
ASCL2	ME3	1.0	ExTRI
MYC	BRD4	1.0	ExTRI
ERG	TDRD1	1.0	ExTRI;NTNU.Curated;SIGNOR;TRRUST
DNMT1	ALDH3B1	1.0	ExTRI
DNMT1	FMO3	1.0	ExTRI
ATF3	CALCA	1.0	ExTRI
ATF3	HSPA5	1.0	ExTRI
ATF3	MAP1LC3B	1.0	ExTRI
ATF3	PCYT2	1.0	ExTRI
CEBPB	HSPA5	1.0	ExTRI
CEBPB	MAP1LC3B	1.0	ExTRI
CEBPB	PCYT2	1.0	ExTRI
DDIT3	CALCA	1.0	ExTRI
DDIT3	PCYT2	1.0	ExTRI
STAT1	TGFA	1.0	ExTRI
STAT2	TGFA	1.0	ExTRI
TP53	LMO4	1.0	ExTRI
HOXC6	ABCB1	1.0	ExTRI
PITX2	IRF5	1.0	ExTRI
VDR	DYSF	1.0	ExTRI
HIF1A	MAPK9	1.0	ExTRI
E2F1	STMN1	1.0	ExTRI;NTNU.Curated;Pavlidis2021
TFDP1	STMN1	1.0	ExTRI;NTNU.Curated
CEBPB	CCL20	1.0	CytReg;ExTRI
FOXC1	SNAI1	1.0	ExTRI;NTNU.Curated
FOXC1	NEDD9	1.0	ExTRI;NTNU.Curated
SNAI2	CDH3	-1.0	ExTRI;NTNU.Curated
MYC	APC	1.0	DoRothEA-A;ExTRI;HTRI
NFE2L2	APC	1.0	ExTRI
NFE2L2	CD44	1.0	ExTRI
MYC	NFE2L2	1.0	SIGNOR
NFE2L2	MYC	-1.0	ExTRI;NTNU.Curated
NFE2L2	PCNA	-1.0	ExTRI;NTNU.Curated
NFE2L2	PTGS2	-1.0	ExTRI;GEREDB;NTNU.Curated
E2F1	GPR19	1.0	ExTRI;NTNU.Curated
FOXP4	TSPOAP1	-1.0	ExTRI
BMAL1	LDLR	1.0	ExTRI;NTNU.Curated
HES1	LDLR	1.0	ExTRI;NTNU.Curated
HES6	LDLR	1.0	ExTRI;NTNU.Curated
FOXO3	MFGE8	1.0	ExTRI
ETS1	ATXN2	1.0	ExTRI;NTNU.Curated;TRRUST
ETV5	PARG	1.0	ExTRI;NTNU.Curated
SP1	PARG	1.0	ExTRI
SOX17	SOX17	1.0	ExTRI
MYCN	CDKL5	-1.0	ExTRI;NTNU.Curated
SSRP1	CDKL5	1.0	ExTRI
DEAF1	CASP3	1.0	ExTRI
DEAF1	EIF4G3	1.0	ExTRI
DEAF1	F2	1.0	ExTRI
MKX	SOX6	1.0	ExTRI;GOA
GATA4	CD2	1.0	ExTRI
TP53	NACC2	1.0	ExTRI
HIF1A	CD24	1.0	ExTRI
JDP2	PLXNA2	1.0	ExTRI
ESR1	MMP3	1.0	ExTRI
YY1	GDF5	1.0	ExTRI;NTNU.Curated
FLI1	PRKCB	1.0	ExTRI
IRF6	GRHL3	1.0	ExTRI;NTNU.Curated
SNAI1	ERG	1.0	ExTRI
ERG	SNAI1	1.0	NTNU.Curated
SNAI1	MCAT	1.0	ExTRI
HOXA9	CD34	1.0	ExTRI
HOXA9	PTEN	1.0	ExTRI
RUNX1	PTEN	1.0	ExTRI
FOXO3	PIK3IP1	1.0	ExTRI;NTNU.Curated
ATF4	INHBE	1.0	ExTRI;NTNU.Curated
BMAL1	IHH	1.0	ExTRI;NTNU.Curated
YY1	PARP1	-1.0	ExTRI;NTNU.Curated;TRRUST
SP1	ALCAM	1.0	ExTRI
HNF4A	ARHGDIG	1.0	ExTRI;NTNU.Curated
MAZ	ARHGDIG	1.0	ExTRI;NTNU.Curated
SMAD1	TFAP2C	1.0	ExTRI
GSC	PROM1	1.0	ExTRI
MYC	PROM1	1.0	ExTRI;TRRUST
SP1	PROM1	1.0	ExTRI;TRRUST
SMAD4	AGR2	1.0	ExTRI;NTNU.Curated
TP53	HEXIM1	1.0	ExTRI
TET1	APOBEC3A	1.0	ExTRI
TET1	APOBEC3C	1.0	ExTRI
KAT6B	KDM1B	1.0	ExTRI
TCF12	KDM1B	1.0	ExTRI
AHRR	CYP1A1	1.0	ExTRI
GATA3	CTLA4	1.0	ExTRI
MBD2	ITGA2B	1.0	ExTRI
MBD2	MPL	1.0	ExTRI
HIF1A	CX3CR1	1.0	ExTRI
RELA	THOC1	1.0	ExTRI
GRHL2	NKX2-1	1.0	ExTRI;Pavlidis2021
ATF4	KDM6B	1.0	ExTRI
CEBPG	KDM6B	1.0	ExTRI
MYC	POLA1	1.0	ExTRI
ZFX	OCRL	1.0	ExTRI
SPIB	BLNK	1.0	ExTRI;NTNU.Curated
SOX21	HES5	1.0	ExTRI
THRB	RB1	1.0	ExTRI
JUN	KLF6	1.0	GEREDB
KLF6	JUN	1.0	ExTRI
ZNF354C	JUN	1.0	ExTRI
MAFB	MMP13	1.0	ExTRI;NTNU.Curated
MAFB	MMP3	1.0	ExTRI
MAFB	ACAN	1.0	ExTRI
SNAI1	ESRP1	1.0	ExTRI
PPARA	RGS5	1.0	ExTRI;NTNU.Curated
PPARD	RGS5	1.0	ExTRI;GEREDB;NTNU.Curated
PPARG	RGS5	1.0	ExTRI;NTNU.Curated
STAT3	S100A9	1.0	ExTRI;IntAct;NTNU.Curated;Pavlidis2021;SIGNOR
NANOG	GDF3	1.0	ExTRI;NTNU.Curated;TRRUST
RARB	IL1B	1.0	ExTRI
SMAD2	KRT14	1.0	ExTRI;NTNU.Curated
ESR1	MED1	1.0	ExTRI
TFAP2C	GPX1	1.0	ExTRI;TRRUST
TFAP2A	GPX1	1.0	ExTRI
SMAD1	PDGFA	-1.0	ExTRI;NTNU.Curated
BHLHE40	PIK3R1	1.0	ExTRI
RELA	BHLHE40	1.0	ExTRI;HTRI
NFE2	ANK1	1.0	ExTRI;NTNU.Curated
NR1H2	PIAS1	1.0	ExTRI
GTF2I	CISH	1.0	ExTRI
GTF2IRD1	CISH	1.0	ExTRI
NSD2	TRIM28	1.0	ExTRI
TCF3	FGF10	1.0	ExTRI;NTNU.Curated
TCF3	FGFR2	1.0	ExTRI;NTNU.Curated
RUNX2	FGF10	1.0	ExTRI;NTNU.Curated
MEF2A	BDNF	1.0	ExTRI
ZBTB33	EGF	1.0	ExTRI
ZBTB33	CDH1	1.0	ExTRI
ATRX	H3-3A	1.0	ExTRI
ESR1	ODC1	1.0	ExTRI
STAT5A	PCK1	1.0	ExTRI
TP53	GAD2	1.0	ExTRI
ATF4	PPARGC1A	-1.0	ExTRI;NTNU.Curated
JUN	SESN2	1.0	ExTRI;NTNU.Curated
DLX4	ALB	1.0	ExTRI
TAL1	EPOR	1.0	ExTRI;TRRUST
PROX1	TWIST1	-1.0	ExTRI;NTNU.Curated;TRRUST
PROX1	AKT2	1.0	ExTRI
FOXO3	IRF7	1.0	ExTRI;NTNU.Curated
FLI1	RUNX1	1.0	ExTRI;NTNU.Curated
NR1H3	SIRT1	1.0	ExTRI
SREBF2	AACS	1.0	ExTRI;NTNU.Curated
EZH2	GATA3	-1.0	ExTRI;NTNU.Curated
EWSR1	CD99	1.0	ExTRI
FLI1	CD99	1.0	ExTRI
GATA6	CDX2	1.0	ExTRI;GEREDB;NTNU.Curated
GATA6	APC	1.0	ExTRI
NFATC2	LGALS3	1.0	ExTRI
KLF2	CCR5	1.0	ExTRI;TRRUST
CREB1	LY6K	1.0	ExTRI;NTNU.Curated
FOSL1	LY6K	1.0	ExTRI
JUND	LY6K	1.0	ExTRI
