source	target	weight	resources
NRG1	CHRNE	1.0	ExTRI
TBP	GTF2A1	1.0	ExTRI
GTF2A1	TBP	1.0	TRRUST
REL	NOS2	1.0	ExTRI;NTNU.Curated
PAX6	KRT12	1.0	ExTRI;GEREDB;Pavlidis2021;TRRUST
ISL1	NHLH1	1.0	ExTRI
RARA	KRAS	1.0	ExTRI
RUNX1	KRAS	1.0	ExTRI
ZBTB14	MYC	-1.0	ExTRI;GOA;SIGNOR
MYB	EPO	1.0	ExTRI
MYC	EPO	1.0	ExTRI
SP1	NF1	1.0	ExTRI;TFactS;TRRUST
TP53	EIF2AK2	1.0	ExTRI
PITX1	LHB	1.0	ExTRI;NTNU.Curated;SIGNOR;TRRUST
EGR1	LHB	1.0	ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TFactS;TRRUST
EGR1	PRKCG	1.0	ExTRI
SP1	MYOD1	1.0	ExTRI;TFactS
MYOD1	SP1	-1.0	ExTRI;SIGNOR
FOS	TP53	1.0	ExTRI;NTNU.Curated;TRRUST
TP53	FOS	-1.0	ExTRI;GEREDB;NTNU.Curated
ETS2	BCL2L1	1.0	ExTRI;NTNU.Curated
GTF2I	FOS	1.0	ExTRI;SIGNOR
GTF2I	SMARCA4	1.0	ExTRI
SP1	FOS	1.0	DoRothEA-A;ExTRI;HTRI;TFactS;TRRUST
YY1	FOS	-1.0	ExTRI;GEREDB;NTNU.Curated;Pavlidis2021
SP1	EGR1	1.0	ExTRI;NTNU.Curated;TRRUST
EGR1	SP1	1.0	ExTRI;GEREDB
NR2F1	EGR1	1.0	ExTRI;GEREDB
BTAF1	TBP	-1.0	TRRUST
TBP	BTAF1	1.0	ExTRI
TBP	DNAH8	1.0	ExTRI
MYC	ENO1	1.0	DoRothEA-A;HTRI;SIGNOR;TFactS
ENO1	MYC	-1.0	ExTRI;GOA;NTNU.Curated;SIGNOR;TRRUST
TP53	CCND1	-1.0	ExTRI;NTNU.Curated;TRRUST
IRF2	ABCC8	1.0	ExTRI
IRF2	SMC3	1.0	ExTRI
FOS	RHOA	1.0	ExTRI
JDP2	LGALS1	1.0	ExTRI
JUN	DCTN1	1.0	ExTRI
MAZ	PNMT	1.0	ExTRI;NTNU.Curated
SP1	PNMT	1.0	ExTRI;GEREDB;NTNU.Curated;TFactS
NFIC	PCK1	1.0	ExTRI
CREB1	PCK1	1.0	ExTRI;NTNU.Curated
NR4A1	PCK1	1.0	ExTRI
HMGA1	NOS2	1.0	ExTRI;NTNU.Curated
RELA	NOS2	1.0	ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
NFKB1	NOS2	1.0	ExTRI;Pavlidis2021;TFactS;TRRUST
USF1	USF1	1.0	ExTRI
CEBPB	DDIT3	1.0	ExTRI;NTNU.Curated;TRRUST
DDIT3	CEBPB	-1.0	SIGNOR
ATF4	DDIT3	1.0	DoRothEA-A;ExTRI;GEREDB;GOA;NTNU.Curated;SIGNOR;TRRUST
DDIT3	ATF4	1.0	ExTRI
ATF3	ATF4	1.0	ExTRI
ATF4	ATF3	1.0	ExTRI;GOA;TRRUST
ATF3	DDIT3	1.0	ExTRI;GOA;NTNU.Curated;TRRUST
TAF1	CCNA2	1.0	ExTRI;GEREDB;NTNU.Curated
RUNX2	BGLAP	1.0	ExTRI;NTNU.Curated;SIGNOR;TFactS
TFAP2A	FABP2	1.0	ExTRI
TFAP2B	FABP2	1.0	ExTRI
ATF2	SELE	1.0	ExTRI;NTNU.Curated
HMGA1	SELE	1.0	ExTRI;NTNU.Curated
HNF1A	LCT	1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
CREM	LIPE	1.0	ExTRI
SMAD4	SERPINE1	1.0	ExTRI;GEREDB;NTNU.Curated;TRRUST
SMAD3	SERPINE1	1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TFactS;TRRUST
STAT1	IRF8	1.0	ExTRI;NTNU.Curated;TRRUST
IRF8	STAT1	-1.0	ExTRI;NTNU.Curated
IRF8	IFNG	1.0	ExTRI
MAZ	MAZ	1.0	ExTRI
TP53	S100A2	1.0	DoRothEA-A;ExTRI;NTNU.Curated
PAX6	GCG	1.0	ExTRI;NTNU.Curated;SIGNOR;TRRUST
TP53	BAX	1.0	DoRothEA-A;ExTRI;GOA;HTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
TP53	CCNG1	1.0	ExTRI;SIGNOR;TFactS
TP53	CHKA	1.0	ExTRI;NTNU.Curated
TP53	GADD45A	1.0	DoRothEA-A;ExTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
ETV5	IFNG	1.0	ExTRI;NTNU.Curated
STAT4	IFNG	1.0	CytReg;ExTRI;GEREDB;TRRUST
DMTF1	CDKN2A	1.0	ExTRI;NTNU.Curated
TP53	CDKN2A	1.0	ExTRI
PPARG	LPL	1.0	ExTRI;NTNU.Curated
SP1	NPR1	1.0	ExTRI;TFactS
SP3	NPR1	1.0	ExTRI
NR5A1	CYP17A1	1.0	ExTRI;NTNU.Curated;TRRUST
SP1	RAC2	1.0	ExTRI;GEREDB
SP3	RAC2	1.0	ExTRI;GEREDB
NEUROD2	ITPR1	1.0	ExTRI;GEREDB
RUNX1	FOS	1.0	ExTRI;NTNU.Curated
NEUROD1	AK1	1.0	ExTRI
HHEX	HHEX	1.0	ExTRI;NTNU.Curated
FOXO3	FASLG	1.0	ExTRI;GEREDB;SIGNOR;TRRUST
USF1	ADGRE4P	1.0	ExTRI
USF1	FASN	1.0	ExTRI;GEREDB;NTNU.Curated;TFactS
USF1	INS	1.0	ExTRI
MBD1	FGF2	1.0	ExTRI
CEBPD	IGF1	1.0	ExTRI;HTRI
ELK1	SOD1	1.0	ExTRI;NTNU.Curated
YY1	SOD1	1.0	ExTRI;NTNU.Curated
FLI1	GP9	1.0	ExTRI;NTNU.Curated;SIGNOR;TRRUST
FLI1	ITGA2B	1.0	ExTRI;TRRUST
EGR1	ELK1	1.0	DoRothEA-A;HTRI;TFactS
ELK1	EGR1	1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated
ELK4	EGR1	1.0	ExTRI;NTNU.Curated
PREB	PRL	1.0	ExTRI;TRRUST
PREB	PRKACA	1.0	ExTRI
POU1F1	POU1F1	1.0	ExTRI;TRRUST
